Activo	Pregunta frecuente	Respuesta aprobada	Cuando derivar a persona	No prometer	Notas para el bot	Interpretacion IA	Estado IA	Observaciones IA
SI	cuales son los requisitos para calificar a cirugia bariatrica por fonasa pad	Para PAD bariatrico (codigo 2501058) FONASA indica beneficiarios entre 18 y 65 anos con criterios de IMC y comorbilidades. Ejemplo: IMC sobre 40, o entre 35 y 40 con morbilidad asociada, o entre 30 y 35 con DM2 de dificil manejo. Se requiere evaluacion medica/nutricional y psicologica, y en casos de salud mental certificado de psiquiatria.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Fuente oficial: nuevo.fonasa.gob.cl cobertura PAD cirugia bariatrica by pass (arancel 2026, revisado 2026-03-20).		OK	
SI	cual es el valor del pad bariatrico bypass	En la ficha de FONASA (arancel 2026), bypass bariatrico codigo 2501058 figura con total $4.993.380 y copago $2.496.690. El prestamo medico FONASA puede cubrir 85% del copago ($2.122.190), dejando pie inicial referencial de 15%.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Fuente oficial FONASA PAD 2501058. Antes de cerrar monto, confirmar vigencia anual.		OK	
SI	el balon gastrico tiene cobertura pad fonasa	No. En los flujos comerciales de Clinyco y en PAD publico, el beneficio PAD aplica a cirugia bariatrica (manga/by pass) y no al balon gastrico. Si quieres, te orientamos con alternativas y evaluacion inicial.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Fuente operacional: respuestas historicas de agentes + sitio fonasapad/clinyco.		OK	
SI	como accedo al bono pad para cirugia bariatrica	Primero debes contar con evaluacion clinica y documentos requeridos. Luego el prestador en convenio te entrega orden/programa para valorizar y pagar el bono en FONASA. El bono emitido se entrega al prestador antes de la intervencion.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Fuente oficial FONASA PAD: requisitos previos y proceso de emision bono.		OK	
SI	cuales son los requisitos para abdomen flacido pad	Para PAD tratamiento quirurgico de abdomen flacido (codigo 2505950), FONASA describe criterios como IMC menor a 30 en menores de 55 anos, IMC menor a 25 entre 55 y 65 anos, y pliegue abdominal que cuelgue 5 cm bajo el pliegue inguinal, ademas de criterios de exclusion clinica.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Fuente oficial: nuevo.fonasa.gob.cl abdomen flacido tratamiento quirurgico (arancel 2026).		OK	
SI	cual es el valor del pad abdomen flacido	En FONASA PAD (arancel 2026), abdomen flacido codigo 2505950 figura con total $3.583.580 y copago $1.791.790. El prestamo 85% publicado es $1.523.020.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Fuente oficial FONASA PAD 2505950. Confirmar vigencia al momento de cotizar.		OK	
SI	cual es el valor del pad colelitiasis calculos biliares	En FONASA PAD (arancel 2026), colelitiasis codigo 2501001 figura con total $1.876.680 y copago $938.340. Prestamo 85% publicado: $797.590.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Fuente oficial: nuevo.fonasa.gob.cl colelitiasis calculos biliares.		OK	
SI	quienes pueden acceder a ges colecistectomia preventiva	Segun Superintendencia de Salud, este problema GES aplica a personas de 35 a 49 anos con calculos en vesicula y vias biliares, desde la sospecha medica y segun NTMA vigente.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Fuente oficial: superdesalud.gob.cl orientacion colecistectomia preventiva (problema 26).		OK	
SI	cuanto demora el ges de colecistectomia preventiva	SuperSalud publica plazos maximos de referencia para este GES: diagnostico hasta 30 dias desde sospecha y tratamiento quirurgico hasta 90 dias desde confirmacion diagnostica.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Fuente oficial SuperSalud (plazos problema 26).		OK	
SI	cuanto pago en ges colecistectomia preventiva	En la lamina informativa de SuperSalud para este GES: FONASA A-B-C-D informa 0% de copago e ISAPRE 20% para prestaciones GES, segun red y normativa vigente.	Derivar a humano si piden confirmacion de cupo exacto, evaluacion clinica individual o excepciones no estandar.	No prometer cobertura final, aprobacion PAD, cupos ni valores futuros sin validacion oficial.	Fuente oficial SuperSalud problema 26. Confirmar red y condiciones del caso.		OK	
